Date,Close,High,Low,Open,Volume,EMA20,EMA50,EMA100,EMA200,MA100,MA200
,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,,,,,,
2010-10-19,173.54705810546875,178.9493321388644,172.60921209316925,174.39188706980124,21956495,173.67811022417334,165.79652179590707,156.62590334343508,148.2589300508318,150.80598052978516,143.4434190750122
2010-10-20,172.6712188720703,174.86469100881732,171.71787866879905,172.68672605022425,12450344,173.58221580968734,166.06611775967818,156.9436323638041,148.5018383973118,151.25264846801758,143.6348645401001
2010-10-21,175.10494995117188,175.45373134344422,170.99704408280627,173.77181406258143,20931966,173.72723810887635,166.42058176718774,157.30326241503911,148.76654597496213,151.71700897216797,143.83210117340087
2010-10-22,175.45370483398438,176.56206454259097,173.16722914885622,175.9419987093889,11809754,173.89166351126758,166.7748218874543,157.66267711640438,149.03208984420613,152.16683120727538,144.0258875656128
2010-10-25,177.0426483154297,179.49188489081072,175.94204192390163,176.40708816068314,13466711,174.19175730214016,167.1774817473749,158.04643892232568,149.31080186879544,152.61459350585938,144.2340728378296
2010-10-26,175.34524536132812,177.18216963118945,174.7019315855162,177.02716288419657,12090254,174.30161330777713,167.49778620282407,158.38898954488016,149.56985105777588,153.0818913269043,144.4432802963257
2010-10-27,171.5628662109375,175.05846011409875,168.7493540067198,174.75618721165827,19789264,174.04078025093526,167.657201105103,158.64985838975258,149.78868702944914,153.54871475219727,144.6370512008667
2010-10-28,168.81910705566406,173.32229022332726,167.1139418691347,172.7642399468276,50115582,173.54347804186182,167.7027660443407,158.8512296504637,149.9780444426453,153.97733139038087,144.83745861053467
2010-10-29,180.28244018554688,182.45265132449865,166.4861007327912,170.2529656299761,53175655,174.18528396030803,168.1960865988978,159.27561005709902,150.2795807186941,154.49500381469727,145.09678646087647
2010-11-01,190.97850036621094,192.838685295266,183.84781315379638,183.88656809059987,52388754,175.78463790372734,169.08951458977285,159.90339006322003,150.68454509329624,155.09336196899415,145.41368103027344
2010-11-02,190.87771606445312,193.25719599920433,187.4518790009631,190.35840778947212,25181574,177.22207391903456,169.94395386328972,160.51674305334345,151.0844771427605,155.67885375976562,145.72461044311524
2010-11-03,192.00933837890625,194.51282387883953,191.13350808477358,192.99367988738408,17747581,178.6303848199747,170.80926305998057,161.1403588023645,151.4916896923739,156.26566299438477,146.02523460388184
2010-11-04,196.2567138671875,196.95428956966623,192.3735975297438,193.5982090364563,16242809,180.30908282447115,171.807202307322,161.83573216998474,151.93711281849144,156.86913619995119,146.34545349121095
2010-11-08,194.59031677246094,198.10915782889884,192.83090274893,197.3340852279766,29505399,181.6692003433273,172.70065777654315,162.48433780567734,152.36152280808318,157.44493911743163,146.64783126831054
2010-11-09,196.73728942871094,198.07816587240973,193.48196613744958,193.92376456597398,19700472,183.10425644669718,173.64327078251054,163.1626140754404,152.80307272470637,158.06476684570313,146.98022956848143
2010-11-10,194.57484436035156,196.07848121125625,193.55948847193213,195.31891570155378,12210517,184.19669339085473,174.46411680517096,163.78463843751786,153.218712243469,158.6156900024414,147.31098129272462
2010-11-11,191.76907348632812,196.078481805331,190.99400079639972,195.00887680985386,12496528,184.9178724475665,175.1427425573732,164.33878566620717,153.60229792747757,159.15126708984374,147.6352657699585
2010-11-12,186.0877685546875,191.42802676950743,185.0646591056925,191.13350748239338,15188365,185.0292911244352,175.57195926315023,164.7694585946919,153.92553644118115,159.61638931274413,147.9643688583374
2010-11-15,189.6143341064453,191.738049680085,185.60719914196295,186.08775247942918,23387001,185.46596188462664,176.12264062955398,165.26143632759792,154.28064885576092,160.13956451416016,148.3105319595337
2010-11-16,186.3745574951172,192.29612703931184,185.02592733944482,190.97849823086003,21744272,185.55249479991147,176.5246765850663,165.67951793487555,154.59999123028186,160.67552947998047,148.60818756103515
2010-11-18,180.49948120117188,187.17287561216884,176.53110065671197,187.1031193294538,39112364,185.07125540955533,176.68055127589398,165.97298255401014,154.85769759815142,161.13166107177733,148.8723049926758
2010-11-19,178.0657196044922,181.36753831127922,176.80235306330277,180.88699797333481,17577142,184.40406152335885,176.73487160250568,166.21244269362364,155.0886231902543,161.5973257446289,149.13708545684815
2010-11-22,182.92544555664062,184.95613107378014,177.51541854461212,178.71678236875505,17846708,184.26324095509997,176.9776392085502,166.54339324536656,155.36560649738254,162.09081619262696,149.4105449295044
2010-11-23,179.34458923339844,182.20462246872705,174.85691395111073,181.67757362289606,20635851,183.79479793398556,177.07046077815207,166.7968822748325,155.60420334052696,162.57988830566407,149.6742345046997
2010-11-24,174.40736389160156,182.12711462681006,172.72545971911273,179.81739097580774,27031867,182.90075659661565,176.96602560613047,166.94758488110517,155.7912994654133,163.02175857543946,149.9366484069824
2010-11-25,173.03549194335938,179.4066129145332,170.91954287780837,176.09704054766053,41819998,181.96120758201982,176.81188703111985,167.0681374961993,155.96288347016898,163.44905731201172,150.1867035293579
2010-11-26,174.26014709472656,178.6703134837614,169.1601453877558,175.0119590930579,30729622,181.22777324989664,176.7118187983201,167.2105535278533,156.14494579479145,163.86038986206054,150.4374971008301
2010-11-29,178.93380737304688,180.3211922828915,175.68623779923422,176.0970348670589,20550194,181.00930030924428,176.79895560517215,167.44269716835217,156.37170063636614,164.33799118041992,150.72128288269042
2010-11-30,177.0426483154297,179.30587680360054,174.80268059519364,178.28276727705438,32235126,180.631523928881,176.808512182045,167.63279521086855,156.57738170779962,164.77172332763672,150.97556324005126
2010-12-01,180.9722442626953,182.60765278925925,177.46114405400596,178.26723094544622,23061665,180.66397348448234,176.9717957930509,167.89694271684533,156.8201166585946,165.22366912841798,151.25613666534423
2010-12-02,184.64610290527344,186.32802004892127,182.9176902527004,183.22771668616346,21933323,181.04322390551005,177.27274901313805,168.22860925523003,157.0969921436362,165.6851484680176,151.5435460662842
2010-12-03,183.14248657226562,184.57636711702597,180.90251899791474,183.84780296612445,14783175,181.2431536832963,177.50293479977051,168.52393355853766,157.35615129217976,166.12229095458986,151.8169451904297
2010-12-06,178.4532928466797,185.27395358841125,177.2131608851122,184.39035663868435,21383741,180.97745265123757,177.54020374278656,168.72055453454047,157.5660730986922,166.52525283813478,152.06758560180663
2010-12-07,172.14414978027344,178.06571857500847,170.51649469624132,178.06571857500847,34666654,180.13618571114574,177.32859378347231,168.7883484998025,157.71112858806117,166.8796942138672,152.29164489746094
2010-12-08,171.1985321044922,172.60916451921713,168.2299881547909,171.2915361174484,23239832,179.28498060575018,177.08819920782602,168.83607490781617,157.84533160812518,167.1928240966797,152.51246562957763
2010-12-09,164.05235290527344,173.72529138864675,162.00616038427128,171.14428347060738,46268178,177.8342541580857,176.5769895489024,168.741347739449,157.90709301406696,167.43813537597657,152.68521999359132
2010-12-10,173.16726684570312,174.39189160388193,161.3861305345974,163.85087421976746,37551387,177.38977917595403,176.44327493309066,168.8289897019491,158.0589355397549,167.7950573730469,152.9085901260376
2010-12-13,173.67880249023438,174.6321425908635,168.36953294140383,174.54687913895205,20001096,177.03635282493312,176.3348642490571,168.92502559874683,158.2143571014512,168.13267959594725,153.12653621673584
2010-12-14,173.53927612304688,175.6319772286257,171.035777976477,174.37635136152832,15565874,176.70329790094397,176.22523334215475,169.0163968962577,158.36684385788502,168.45945114135742,153.32808879852294
2010-12-15,167.2146759033203,171.8651245730754,166.03655981189883,170.82652103109024,26295830,175.79961961545598,175.871878148475,168.9807192528332,158.45488198769036,168.71654342651368,153.47892345428465
2010-12-16,171.40782165527344,172.39991661781863,165.57150365793703,168.03624689828388,22559251,175.38135314305765,175.6968171095259,169.02878068654488,158.5837669595071,169.00959899902344,153.642169380188
2010-12-20,170.5242462158203,173.44626914158823,168.66406156556272,170.46998410867687,17667639,174.9187715309398,175.49397119212568,169.05839386534242,158.7025776983759,169.28219284057616,153.8085970687866
2010-12-21,176.4613037109375,177.1821141297662,170.82650125007586,170.93501244366965,22757977,175.06567935760626,175.53190580070654,169.2049861395126,158.87928143979443,169.63795211791992,154.0021513748169
2010-12-22,175.438232421875,177.49219195739929,173.6323096762794,177.49219195739929,14806913,175.10116060182233,175.52823233487,169.32841675896532,159.04404712120817,169.9527101135254,154.17378688812255
2010-12-23,175.11270141601562,176.7170958010107,174.05083706554248,176.5620890782011,10596553,175.1022597269836,175.51193700471885,169.44295704920393,159.20393422861918,170.30110641479493,154.34272533416748
2010-12-24,173.3300323486328,174.8414227506495,172.37669218620664,173.15176485438838,11189920,174.93347616714067,175.4263721162449,169.51992883731143,159.34449241886807,170.57796356201172,154.50836444854735
2010-12-27,174.4771270751953,176.09704163498205,173.3455194645617,173.3455194645617,8825591,174.89001434886018,175.38914682051745,169.61809117865565,159.49506589803553,170.83149047851563,154.66977146148682
2010-12-28,172.35342407226562,174.5468830121473,171.8651301334407,174.5468830121473,8497280,174.64843432251783,175.27009886960562,169.67225618644989,159.6230097604657,171.05254196166993,154.81612995147705
2010-12-29,175.08169555664062,175.47698548539282,171.92714272486137,172.84172796662986,12598855,174.68969729719618,175.2627105043913,169.7793737977408,159.77682752958188,171.3223455810547,154.98598278045654
2010-12-30,176.228759765625,177.27511668920718,174.09730400404422,174.09730400404422,20579317,174.83627467514177,175.30059478914555,169.9070844109662,159.94052834785097,171.61230072021485,155.15641521453858
